Packaging Production,Low-density polyethylene (LD-PE),Input,kg,0.73
Packaging Production,polyethylene terephthalate (PET) granulate,Input,kg,0.247
Packaging Production,adhesive PUR,Input,kg,0.023
Packaging Production,Extrusion,Input,kg,1.032
Packaging Production,Waste Incineration,Output,kg,1
Packaging Production,Plastic Packaging,Output,items,1
